inc3,n,pct_service,pct_service_se,pct_unmet,pct_unmet_se
high,7122,0.16824585388460572,0.005672279952092667,0.16008368035757356,0.005859323802487455
low,297,0.18959897844699378,0.031063155043125634,0.17303983317665125,0.03214580950618112
middle,2379,0.16531860110789176,0.010024723703002005,0.15560628338531776,0.010212128973562266
NA,63,0.14019814588502758,0.044808259694605716,0.21056491593735027,0.05940468551453793
