inc3,prop_service,prop_service_se,n
high,0.16824585388460572,0.005672279952092667,7122
low,0.18959897844699378,0.031063155043125634,297
middle,0.16531860110789176,0.010024723703002005,2379
NA,0.14019814588502758,0.044808259694605716,63
