inc3,age_grp,gender,any_disorder_12m,prob,se,ci_low,ci_high
Low Income,6,1,0,0.07931786655471203,0.0162256253246455,0.04751564091840685,0.1111200921910172
Middle Income,6,1,0,0.0809796565153708,0.007687900597695487,0.06591137134388764,0.09604794168685396
High Income,6,1,0,0.07898056739486095,0.005141108952862191,0.06890399384725106,0.08905714094247084
