inc3,prop_unmet,prop_unmet_se,n
high,0.16008368035757356,0.005859323802487455,7122
low,0.17303983317665125,0.03214580950618112,297
middle,0.15560628338531776,0.010212128973562266,2379
NA,0.21056491593735027,0.05940468551453793,63
